step,rl_mean,rl_std,rl_ema,baseline_mean,baseline_std,baseline_ema,pid_mean,pid_std,pid_ema
109,109.0,0.0,43.10330883210144,109.0,0.0,43.10330883210144,109.0,0.0,43.10330883210144
110,110.0,0.0,43.772275743780426,110.0,0.0,43.772275743780426,110.0,0.0,43.772275743780426
111,111.0,0.0,44.44455298634262,111.0,0.0,44.44455298634262,111.0,0.0,44.44455298634262
112,112.0,0.0,45.12010745647919,112.0,0.0,45.12010745647919,112.0,0.0,45.12010745647919
113,113.0,0.0,45.7989063819144,113.0,0.0,45.7989063819144,113.0,0.0,45.7989063819144
114,114.0,0.0,46.48091731809526,114.0,0.0,46.48091731809526,114.0,0.0,46.48091731809526
115,115.0,0.0,47.166108144914304,115.0,0.0,47.166108144914304,115.0,0.0,47.166108144914304
116,116.0,0.0,47.854447063465166,116.0,0.0,47.854447063465166,116.0,0.0,47.854447063465166
117,117.0,0.0,48.545902592830515,117.0,0.0,48.545902592830515,117.0,0.0,48.545902592830515
118,118.0,0.0,49.24044356690221,118.0,0.0,49.24044356690221,118.0,0.0,49.24044356690221
119,119.0,0.0,49.93803913123318,119.0,0.0,49.93803913123318,119.0,0.0,49.93803913123318
120,120.0,0.0,50.63865873992085,120.0,0.0,50.63865873992085,120.0,0.0,50.63865873992085
121,121.0,0.0,51.342272152521645,121.0,0.0,51.342272152521645,121.0,0.0,51.342272152521645
122,122.0,0.0,52.04884943099643,122.0,0.0,52.04884943099643,122.0,0.0,52.04884943099643
123,123.0,0.0,52.758360936686465,123.0,0.0,52.758360936686465,123.0,0.0,52.758360936686465
124,124.0,0.0,53.4707773273196,124.0,0.0,53.4707773273196,124.0,0.0,53.4707773273196
125,125.0,0.0,54.186069554046405,125.0,0.0,54.186069554046405,125.0,0.0,54.186069554046405
126,126.0,0.0,54.90420885850594,126.0,0.0,54.90420885850594,126.0,0.0,54.90420885850594
127,127.0,0.0,55.62516676992088,127.0,0.0,55.62516676992088,127.0,0.0,55.62516676992088
128,128.0,0.0,56.348915102221675,128.0,0.0,56.348915102221675,128.0,0.0,56.348915102221675
129,129.0,0.0,57.075425951199456,129.0,0.0,57.075425951199456,129.0,0.0,57.075425951199456
130,130.0,0.0,57.80467169168747,130.0,0.0,57.80467169168747,130.0,0.0,57.80467169168747
131,131.0,0.0,58.5366249747706,131.0,0.0,58.5366249747706,131.0,0.0,58.5366249747706
132,132.0,0.0,59.27125872502289,132.0,0.0,59.27125872502289,132.0,0.0,59.27125872502289
133,133.0,0.0,60.00854613777266,133.0,0.0,60.00854613777266,133.0,0.0,60.00854613777266
134,134.0,0.0,60.748460676394934,134.0,0.0,60.748460676394934,134.0,0.0,60.748460676394934
135,135.0,0.0,61.49097606963099,135.0,0.0,61.49097606963099,135.0,0.0,61.49097606963099
136,136.0,0.0,62.236066308934674,136.0,0.0,62.236066308934674,136.0,0.0,62.236066308934674
137,137.0,0.0,62.98370564584533,137.0,0.0,62.98370564584533,137.0,0.0,62.98370564584533
138,138.0,0.0,63.73386858938688,138.0,0.0,63.73386858938688,138.0,0.0,63.73386858938688
139,139.0,0.0,64.48652990349302,139.0,0.0,64.48652990349302,139.0,0.0,64.48652990349302
140,140.0,0.0,65.2416646044581,140.0,0.0,65.2416646044581,140.0,0.0,65.2416646044581
141,141.0,0.0,65.9992479584135,141.0,0.0,65.9992479584135,141.0,0.0,65.9992479584135
142,142.0,0.0,66.75925547882937,142.0,0.0,66.75925547882937,142.0,0.0,66.75925547882937
143,143.0,0.0,67.52166292404108,143.0,0.0,67.52166292404108,143.0,0.0,67.52166292404108
144,144.0,0.0,68.28644629480067,144.0,0.0,68.28644629480067,144.0,0.0,68.28644629480067
145,145.0,0.0,69.05358183185267,145.0,0.0,69.05358183185267,145.0,0.0,69.05358183185267
146,146.0,0.0,69.82304601353415,146.0,0.0,69.82304601353415,146.0,0.0,69.82304601353415
147,147.0,0.0,70.5948155533988,147.0,0.0,70.5948155533988,147.0,0.0,70.5948155533988
148,148.0,0.0,71.36886739786482,148.0,0.0,71.36886739786482,148.0,0.0,71.36886739786482
149,149.0,0.0,72.14517872388616,149.0,0.0,72.14517872388616,149.0,0.0,72.14517872388616
150,150.0,0.0,72.9237269366473,150.0,0.0,72.9237269366473,150.0,0.0,72.9237269366473
151,151.0,0.0,73.70448966728082,151.0,0.0,73.70448966728082,151.0,0.0,73.70448966728082
152,152.0,0.0,74.48744477060801,152.0,0.0,74.48744477060801,152.0,0.0,74.48744477060801
153,153.0,0.0,75.27257032290193,153.0,0.0,75.27257032290193,153.0,0.0,75.27257032290193
154,154.0,0.0,76.05984461967292,154.0,0.0,76.05984461967292,154.0,0.0,76.05984461967292
155,155.0,0.0,76.84924617347619,155.0,0.0,76.84924617347619,155.0,0.0,76.84924617347619
156,156.0,0.0,77.64075371174143,156.0,0.0,77.64075371174143,156.0,0.0,77.64075371174143
157,157.0,0.0,78.43434617462401,157.0,0.0,78.43434617462401,157.0,0.0,78.43434617462401
158,158.0,0.0,79.23000271287776,158.0,0.0,79.23000271287776,158.0,0.0,79.23000271287776
159,159.0,0.0,80.02770268574899,159.0,0.0,80.02770268574899,159.0,0.0,80.02770268574899
160,160.0,0.0,80.82742565889151,160.0,0.0,80.82742565889151,160.0,0.0,80.82742565889151
161,161.0,0.0,81.6291514023026,161.0,0.0,81.6291514023026,161.0,0.0,81.6291514023026
162,162.0,0.0,82.43285988827958,162.0,0.0,82.43285988827958,162.0,0.0,82.43285988827958
163,163.0,0.0,83.23853128939678,163.0,0.0,83.23853128939678,163.0,0.0,83.23853128939678
164,164.0,0.0,84.04614597650281,164.0,0.0,84.04614597650281,164.0,0.0,84.04614597650281
165,165.0,0.0,84.8556845167378,165.0,0.0,84.8556845167378,165.0,0.0,84.8556845167378
166,166.0,0.0,85.66712767157041,166.0,0.0,85.66712767157041,166.0,0.0,85.66712767157041
167,167.0,0.0,86.48045639485471,167.0,0.0,86.48045639485471,167.0,0.0,86.48045639485471
168,168.0,0.0,87.29565183090617,168.0,0.0,87.29565183090617,168.0,0.0,87.29565183090617
169,169.0,0.0,88.1126953125971,169.0,0.0,88.1126953125971,169.0,0.0,88.1126953125971
170,170.0,0.0,88.93156835947113,170.0,0.0,88.93156835947113,170.0,0.0,88.93156835947113
171,171.0,0.0,89.75225267587642,171.0,0.0,89.75225267587642,171.0,0.0,89.75225267587642
172,172.0,0.0,90.57473014911766,172.0,0.0,90.57473014911766,172.0,0.0,90.57473014911766
173,173.0,0.0,91.39898284762648,173.0,0.0,91.39898284762648,173.0,0.0,91.39898284762648
174,174.0,0.0,92.22499301915022,174.0,0.0,92.22499301915022,174.0,0.0,92.22499301915022
175,175.0,0.0,93.05274308895872,175.0,0.0,93.05274308895872,175.0,0.0,93.05274308895872
176,176.0,0.0,93.88221565806914,176.0,0.0,93.88221565806914,176.0,0.0,93.88221565806914
